startTime,pm25
1373986800000.0,22.333
1374084000000.0,20.5
1374181200000.0,32
1374105600000.0,34.83300000000001
1374116400000.0,14.167
1374127200000.0,23
1374138000000.0,21.167
1374148800000.0,14
1374159600000.0,13.5
1374300000000.0,28.5
1374310800000.0,14.667
1374321600000.0,15.333
1374332400000.0,22.833
1374526800000.0,23.167
1374451200000.0,30.667
1374462000000.0,33.833
1374472800000.0,28.5
1374483600000.0,17
1374494400000.0,19.5
1374505200000.0,22
1374602400000.0,30
1374699600000.0,57.167
1374624000000.0,32.167
1374634800000.0,22
1374645600000.0,36.16699999999999
1374656400000.0,33.167
1374678000000.0,24.667
1374872400000.0,28.5
1374796800000.0,11.333
1374807600000.0,6.5
1374818400000.0,12.833
1374829200000.0,34.667
1374840000000.0,22.333
1374850800000.0,10.667
1374948000000.0,15.167
1375045200000.0,19.667
1374969600000.0,17
1374980400000.0,15.833
1374991200000.0,20.5
1375012800000.0,8.833
1375023600000.0,10
1375120800000.0,15
1375218000000.0,38.333
1375142400000.0,23
1375153200000.0,10.667
1375164000000.0,19.167
1375174800000.0,28.5
1375185600000.0,25
1375196400000.0,20
1375296300000.0,40.75
1375390800000.0,50.83300000000001
1375315200000.0,20.167
1375336800000.0,33.167
1375347600000.0,37.167
1375358400000.0,21.5
1375466400000.0,45.5
1375563600000.0,55.333
1375488000000.0,46
1375498800000.0,46.5
1375509600000.0,60.5
1375520400000.0,65
1375531200000.0,49.167
1375542000000.0,49.83300000000001
1375736400000.0,120.667
1375660800000.0,94.333
1375671600000.0,69.167
1375693200000.0,71.667
1375704000000.0,58.33300000000001
1375714800000.0,34
1375812000000.0,50.66699999999999
1375833600000.0,120.667
1375844400000.0,129.167
1375855200000.0,146.833
1375866000000.0,198.5
1375876800000.0,82.5
1375887600000.0,63.333
1375898400000.0,90.167
1375995600000.0,125.5
1375920000000.0,104.5
1375930800000.0,82.167
1375941600000.0,100.833
1375952400000.0,101.333
1375963200000.0,81.5
1375974000000.0,90.333
1375984800000.0,94.5
1376082000000.0,117.167
1376006400000.0,96.5
1376017200000.0,91
1376028000000.0,92.667
1376038800000.0,107.333
1376049600000.0,74.667
1376060400000.0,28.833
1376157600000.0,34.667
1376254800000.0,46.333
1376179200000.0,31.833
1376190000000.0,20.833
1376200800000.0,33.5
1376211600000.0,19.667
1376330400000.0,45.45500000000001
1376427600000.0,80
1376362800000.0,51.5
1376373600000.0,67.167
1376384400000.0,72.167
1376395200000.0,39.5
1376406000000.0,29.167
1376503200000.0,60.167
1376600400000.0,60
1376524800000.0,43.5
1376535600000.0,23.5
1376546400000.0,17.167
1376557200000.0,25.667
1376568000000.0,38.667
1376578800000.0,53.333
1376676000000.0,78
1376773200000.0,86
1376697600000.0,65.5
1376708400000.0,64.167
1376719200000.0,96.667
1376730000000.0,73.167
1376740800000.0,47.167
1376848800000.0,46.333
1376946000000.0,79.167
1376870400000.0,59
1376881200000.0,39.333
1376892000000.0,44.833
1376902800000.0,51.833
1376924400000.0,52.833
1377021600000.0,34.5
1377118800000.0,36
1377043200000.0,33.167
1377054000000.0,14.333
1377064800000.0,40.667
1377075600000.0,29.833
1377086400000.0,19.333
1377097200000.0,24.667
1377194400000.0,46.167
1377291600000.0,74.167
1377216000000.0,48.667
1377226800000.0,28.333
1377237600000.0,45
1377248400000.0,44.5
1377259200000.0,40.833
1377270000000.0,34.33300000000001
1377367200000.0,44.16699999999999
1377464400000.0,96.5
1377388800000.0,26.5
1377399600000.0,18.833
1377410400000.0,19.333
1377421200000.0,22
1377432000000.0,15.833
1377442800000.0,16.5
1377540000000.0,28.167
1377637200000.0,27.5
1377561600000.0,17.5
1377572400000.0,11.667
1377583200000.0,17.5
1377600900000.0,22.5
1377607980000.0,19.8
1377615600000.0,23.5
1377691200000.0,15.833
1377712800000.0,16
1377734400000.0,18.667
1377745200000.0,11
1377756000000.0,31
1377766800000.0,34
1377777600000.0,22.667
1377788400000.0,19.833
1377982800000.0,60.5
1377907200000.0,35.33300000000001
1377918000000.0,21.167
1377939600000.0,31.167
1377950400000.0,21.667
1377961200000.0,18.667
1378058400000.0,42.33300000000001
1378155600000.0,33
1378080000000.0,19
1378090800000.0,14.333
1378101600000.0,30.8
1378112760000.0,33.2
1378134000000.0,19.333
1378328400000.0,27.5
1378252800000.0,18.333
1378263600000.0,10.5
1378274400000.0,16.333
1378285200000.0,26
1378296000000.0,22.833
1378306800000.0,24.333
1378404000000.0,55.5
1378501200000.0,58.33300000000001
1378425600000.0,33.333
1378436400000.0,22
1378447200000.0,51
1378458000000.0,29.333
1378468800000.0,22.667
1378479600000.0,23.833
1378576800000.0,68.667
1378674000000.0,60
1378598400000.0,34.667
1378609200000.0,23.333
1378620000000.0,21.5
1378641600000.0,33.5
1378652400000.0,31.5
1378846800000.0,89
1378771200000.0,38.667
1378782000000.0,20.333
1378792800000.0,35
1378803600000.0,37.5
1378814400000.0,15.833
1378922400000.0,46.45500000000001
1379019600000.0,61.5
1378944000000.0,28.333
1378954800000.0,23.333
1378965600000.0,82.5
1378976400000.0,33.333
1378987200000.0,14.5
1378998000000.0,15.167
1379095200000.0,41.667
1379192400000.0,26.167
1379116800000.0,15
1379127600000.0,16.833
1379138400000.0,37.833
1379149200000.0,24
1379160000000.0,18.667
1379170800000.0,14
1379269980000.0,133.5
1379365200000.0,111.167
1379289600000.0,39.667
1379300400000.0,18.333
1379311200000.0,25.833
1379322000000.0,23.833
1379332800000.0,17.833
1379343600000.0,19.167
1379580240000.0,49.5
1379581200000.0,22.833
1379592000000.0,23.5
1379602800000.0,21.167
1379700000000.0,50.83300000000001
1379797200000.0,87.833
1379721600000.0,64.5
1379732400000.0,27.5
1379743200000.0,47.167
1379762940000.0,42.5
1379764800000.0,29.167
1379775600000.0,44.333
1379872800000.0,44.833
1379894400000.0,22
1379905200000.0,31.333
1379916000000.0,82.333
1379926800000.0,46
1379937600000.0,22.167
1380045600000.0,143.091
1380142800000.0,170.667
1380067200000.0,80
1380078000000.0,61.333
1380088800000.0,110.333
1380099600000.0,68.167
1380218400000.0,66
1380315600000.0,114.833
1380240000000.0,46.167
1380250800000.0,39.333
1380261600000.0,63.667
1380272400000.0,121.333
1380283200000.0,43.66699999999999
1380294000000.0,39.2
1380391200000.0,119.667
1380488400000.0,144
1380412800000.0,89
1380434400000.0,78.833
1380445200000.0,28.167
1380456000000.0,33
1380466800000.0,23.833
1380564720000.0,48.59999999999999
1380661200000.0,102.5
1380585600000.0,48.333
1380596400000.0,34.83300000000001
1380607200000.0,87.833
1380618000000.0,67
1380628800000.0,29
1380736800000.0,94
1380834000000.0,142.833
1380758400000.0,89.167
1380769200000.0,55.167
1380780000000.0,114
1380801600000.0,56.167
1380812400000.0,52.5
1380909600000.0,119.167
1381006800000.0,138.333
1380931200000.0,23.333
1380942000000.0,17.167
1380952800000.0,28.5
1380963600000.0,34.5
1380974400000.0,19.333
1381185180000.0,64.19999999999999
1381114800000.0,82.333
1381136400000.0,54.833
1381147200000.0,36
1381158000000.0,42
1381255200000.0,83.5
